iter	Passed	Remaining
0	1	173
1	2	144
2	4	134
3	4	119
4	6	115
5	7	118
6	8	118
7	10	115
8	11	112
9	12	108
10	13	105
11	14	105
12	15	105
13	17	105
14	18	104
15	19	104
16	21	103
17	22	102
18	23	101
19	25	100
20	26	101
21	28	101
22	30	103
23	32	102
24	34	103
25	36	102
26	37	101
27	38	99
28	39	97
29	41	95
30	42	94
31	44	94
32	45	93
33	47	91
34	48	89
35	49	87
36	49	85
37	51	83
38	52	81
39	53	79
40	54	77
41	54	75
42	55	73
43	56	71
44	57	69
45	58	68
46	60	67
47	61	67
48	62	65
49	64	64
50	65	62
51	66	61
52	67	59
53	67	57
54	68	56
55	69	54
56	70	53
57	71	51
58	73	51
59	75	50
60	76	48
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	22
81	98	21
82	100	20
83	101	19
84	103	18
85	105	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	114	7
94	116	6
95	117	4
96	118	3
97	120	2
98	121	1
99	122	0
